
     Value            PMF            CDF
         0    59.924927 %    59.924927 %
         1    40.075073 %   100.000000 %

     Value            PMF            CDF
         0    20.250000 %    20.250000 %
         2     1.093750 %    21.343750 %
         3     2.187500 %    23.531250 %
         4     3.283630 %    26.814880 %
         5     4.384521 %    31.199402 %
         6     5.492554 %    36.691956 %
         7     6.610107 %    43.302063 %
         8     7.739563 %    51.041626 %
         9     8.883301 %    59.924927 %
        10     7.856201 %    67.781128 %
        11     6.848145 %    74.629272 %
        12     5.851990 %    80.481262 %
        13     4.860596 %    85.341858 %
        14     3.866821 %    89.208679 %
        15     2.863525 %    92.072205 %
        16     1.843567 %    93.915771 %
        17     0.799805 %    94.715576 %
        18     0.818848 %    95.534424 %
        19     0.799805 %    96.334229 %
        20     0.749817 %    97.084045 %
        21     0.676025 %    97.760071 %
        22     0.585571 %    98.345642 %
        23     0.485596 %    98.831238 %
        24     0.383240 %    99.214478 %
        25     0.285645 %    99.500122 %
        26     0.199951 %    99.700073 %
        27     0.133301 %    99.833374 %
        28     0.083313 %    99.916687 %
        29     0.047607 %    99.964294 %
        30     0.023804 %    99.988098 %
        31       < 0.01 %    99.997620 %
        32       < 0.01 %   100.000000 %
