
     Value            PMF            CDF
         1     4.166667 %     4.166667 %
         2     4.861111 %     9.027778 %
         3     5.671296 %    14.699074 %
         4     6.616512 %    21.315586 %
         5     7.716049 %    29.031636 %
         6     8.989198 %    38.020833 %
         7     6.288580 %    44.309414 %
         8     6.577932 %    50.887346 %
         9     6.751543 %    57.638889 %
        10     6.751543 %    64.390432 %
        11     6.520062 %    70.910494 %
        12     5.999228 %    76.909722 %
        13     5.131173 %    82.040895 %
        14     4.552469 %    86.593364 %
        15     3.858025 %    90.451389 %
        16     3.105710 %    93.557099 %
        17     2.353395 %    95.910494 %
        18     1.658951 %    97.569444 %
        19     1.080247 %    98.649691 %
        20     0.675154 %    99.324846 %
        21     0.385802 %    99.710648 %
        22     0.192901 %    99.903549 %
        23     0.077160 %    99.980710 %
        24     0.019290 %   100.000000 %
